Title,Category,Duration,Rating,Rating Count,Director,Creator,Writer,Language,Country,Release Date,Filming Location,Description,Story
Power Rangers Dino Charge,"Action,Adventure,Fantasy",21min,7.1,540,,Haim Saban,,English,USA,", 7 February 2015 (USA)
    ,","Auckland, New Zealand","On prehistoric Earth, an alien entrusted powerful Energems to 10 dinosaurs, but when the dinosaurs went extinct, the Energems were lost. Now an intergalactic bounty hunter is determined to ...
                    , »","On prehistoric Earth, an alien entrusted powerful Energems to 10 dinosaurs, but when the dinosaurs went extinct, the Energems were lost. Now an intergalactic bounty hunter is determined to reclaim the Energems and destroy our planet. A new team of Power Rangers must find the lost Energems and use their Dino Chargers to power up an arsenal of dino-fueled battle gear, Zords and Megazords to save the world. Will the Power Rangers be able to save our planet?"
Doctor Strange,"Action,Adventure,Fantasy",115 min,8.7,789,Scott Derrickson,,"Jon Spaihts,Scott Derrickson",English,USA,", 4 November 2016 (USA)
    ,","New York City, New York, USA",A former neurosurgeon embarks on a journey of healing only to be drawn into the world of the mystic arts.,"Marvel's ""Doctor Strange"" follows the story of the talented neurosurgeon Doctor Stephen Strange who, after a tragic car accident, must put ego aside and learn the secrets of a hidden world of mysticism and alternate dimensions. Based in New York City's Greenwich Village, Doctor Strange must act as an intermediary between the real world and what lies beyond, utilising a vast array of metaphysical abilities and artifacts to protect the Marvel Cinematic Universe.                ,"
,,,,,,,,,,,,,
The Girl on the Train,"Mystery,Thriller",112 min,6.7,"16,628",Tate Taylor,,"Erin Cressida Wilson,Paula Hawkins",English,USA,", 7 October 2016 (USA)
    ,","Hastings-on-Hudson, New York, USA",A divorcee becomes entangled in a missing persons investigation that promises to send shockwaves throughout her life.,"The Girl on the Train is the story of Rachel Watson's life post-divorce. Every day, she takes the train in to work in New York, and every day the train passes by her old house. The house she lived in with her husband, who still lives there, with his new wife and child. As she attempts to not focus on her pain, she starts watching a couple who live a few houses down -- Megan and Scott Hipwell. She creates a wonderful dream life for them in her head, about how they are a perfect happy family. And then one day, as the train passes, she sees something shocking, filling her with rage. The next day, she wakes up with a horrible hangover, various wounds and bruises, and no memory of the night before. She has only a feeling: something bad happened. Then come the TV reports: Megan Hipwell is missing. Rachel becomes invested in the case and trying to find out what happened to Megan, where she is, and what exactly she herself was up to that same night Megan went missing."
School of Rock,"Comedy,Family,Musical",30min,4.5,361,,"Jim Armogida,Steve Armogida",,English,USA,", 2016 (USA)
    ,","Paramount Studios - 5555 Melrose Avenue, Hollywood, Los Angeles, California, USA","Misadventures of Dewey Finn, a rocker who poses as a substitute teacher at a prestigious prep school as he teaches his unconventional and overachieving students to play and love rock 'n' roll.","Misadventures of Dewey Finn, a rocker who poses as a substitute teacher at a prestigious prep school as he teaches his unconventional and overachieving students to play and love rock 'n' roll."
"I'm Not Ashamed ,","Biography,Drama",1h 52min,7.5,48,Brian Baugh,,"Philipa A. Booyens,Robin Hanley",English,USA,", 21 October 2016 (USA)
    ,","Nashville, Tennessee, USA",Based on the inspiring and powerful true story and journal entries of Rachel Joy Scott- the first student killed in the Columbine high school shooting in 1999.,"The Columbine Massacre of April 20, 1999 completely redefined America's view of the lives of high school students. Drawn straight from Columbine victim Rachel Joy Scott's words and journal entries, through the insight of her mother, Beth Nimmo, it is the true story of a high school student whose compassionate, caring faith caused her to reach out to fellow students including her killers who made her a target of their murderous plan.                ,"
"The Handmaiden ,","Drama,Romance",2h 24min,8.0,"4,743",Chan-wook Park,,"Seo-Kyung Chung,Chan-wook Park","Korean,Japanese",South Korea,", 1 June 2016 (South Korea)
    ,","Nagoya, Aichi, Japan","A woman is hired as a handmaiden to a Japanese heiress, but secretly she is involved in a plot to defraud her.","1930s Korea, in the period of Japanese occupation, a new girl (Sookee) is hired as a handmaiden to a Japanese heiress (Hideko) who lives a secluded life on a large countryside estate with her domineering Uncle (Kouzuki). But the maid has a secret. She is a pickpocket recruited by a swindler posing as a Japanese Count to help him seduce the Lady to elope with him, rob her of her fortune, and lock her up in a madhouse. The plan seems to proceed according to plan until Sookee and Hideko discover some unexpected emotions.                ,"
Star Wars Rebels,"Animation,Action,Adventure",30min,8.0,"12,771",,"Simon Kinberg,Carrie Beck,Dave Filoni",,English,USA,", 26 September 2014 (USA)
    ,",,A brave and clever ragtag starship crew stands up against the evil Empire as it tightens its grip on the galaxy and hunts down the last of the Jedi Knights.,"An animated TV series set between the events of Episode III and IV, Star Wars Rebels takes place in a time where the Empire is securing its grip on the galaxy and hunting down the last of the Jedi Knights as a fledgling rebellion against the Empire is taking shape.                ,"
"Deepwater Horizon ,","Action,Drama,Thriller",1h 47min,7.5,"16,701",Peter Berg,,"Matthew Michael Carnahan,Matthew Sand",English,"Hong Kong,USA",", 30 September 2016 (USA)
    ,","Chalmette, Louisiana, USA","A dramatization of the April 2010 disaster when the offshore drilling rig, Deepwater Horizon, exploded and created the worst oil spill in U.S. history.","In April 2010, there is no oil exploration operation in the Gulf of Mexico to compare with the Deepwater Horizon oil rig with its size or sheer depth of its drilling. However, the project for the BP oil company is beset with technical difficulties to the point where the general operational supervisor, Jimmy Harrell, and his Chief Electrical Engineer, Mike Williams, are concerned potentially dangerous trouble is brewing. Unfortunately, visiting BP executives, frustrated by the project's long delays, order curtailed site inspections and slanted system tests to make up for lost time even as Harrell, Williams and his team helplessly protest for the sake of proper safety. On April 20, the workers' fears are realized in the worst possible way when the rig's various structural and system flaws spark a catastrophic cascade of failures that would create a massive blowout and explosion that threatens them all, even as it also begins the worst environmental disaster in US history.                ,"
"Ae Dil Hai Mushkil ,","Drama,Musical,Romance",,,,Karan Johar,,"Karan Johar,Karan Johar",Hindi,India,", 28 October 2016 (USA)
    ,","London, England, UK","A story about unrequited love. The journey of three characters, Ayan, Alizeh, and Saba.","A story about unrequited love - the shapes it takes, the ways it changes us and the exhilarating and often heartbreaking ride it takes us on. It is the journey of three characters, Ayan, Alizeh and Saba, as their lives intertwine and they navigate life, love and heartbreak.                ,"
